film_adi,degisken_1,degisken_2,degisken_3,degisken_4
kampta,16_yas_ve_uzeri,olumsuz_ornek,siddet_ve_korku,
insaat,10_yas_ve_uzeri,13_yas_alti,olumsuz_ornek,siddet_ve_korku
illegal_ask,16_yas_ve_uzeri,olumsuz_ornek,siddet_ve_korku,
her_sey_cok_guzel_olacak,10_yas_ve_uzeri,13_yas_alti,olumsuz_ornek,siddet_ve_korku
her_renkte_ask,6_yas_ve_uzeri,10_yas_alti,olumsuz_ornek,
hellboy,16_yas_ve_uzeri,olumsuz_ornek,siddet_ve_korku,
gecenin_nakarati,10_yas_ve_uzeri,olumsuz_ornek,siddet_ve_korku,
fena_halde_fiorella,10_yas_ve_uzeri,olumsuz_ornek,,
dunyada_oyle_seyler_olmuyor,16_yas_ve_uzeri,olumsuz_ornek,siddet_ve_korku,
domates_biber_depresyon,10_yas_ve_uzeri,olumsuz_ornek,,
daha_iyi_bir yarin,16_yas_ve_uzeri,olumsuz_ornek,,
cam_kavanoz,10_yas_ve_uzeri,olumsuz_ornek,siddet_ve_korku,
blink_twice,18_yas_ve_uzeri,olumsuz_ornek,siddet_ve_korku,cinsellik ve ciplaklik
aci_kahve,10_yas_ve_uzeri,olumsuz_ornek,,
deadpoll_and_wolverine,16_yas_ve_uzeri,olumsuz_ornek,siddet_ve_korku,
maxxxine,18_yas_ve_uzeri,olumsuz_ornek,siddet_ve_korku,cinsellik ve ciplaklik
a_sacrifice,16_yas_ve_uzeri,olumsuz_ornek,siddet_ve_korku,
horizon,16_yas_ve_uzeri,olumsuz_ornek,siddet_ve_korku,cinsellik ve ciplaklik
